SCAN FILE,SITE,SLOPE, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,6.92,0.06,2.6,907
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,7.22,0.02,53,3859
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,7.5,0.06,3.7,625
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,7.63,0.04,7.6,629
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,7.8,0.07,2.2,314
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,8.22,0.02,3.9,300
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,8.26,0.08,1.1,114
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,8.51,0.07,1.8,231
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,8.69,0.06,4.4,452
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,8.95,0.06,4.4,1163
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,9.31,0.06,3.1,450
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,9.49,0.05,7.8,404
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,9.53,0.03,37.5,1297
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,9.69,0.06,37.6,2047
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,9.83,0.1,1.5,117
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,9.97,0.06,2.3,495
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,10.22,0.07,1.9,398
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,10.48,0.1,3.3,629
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,10.65,0.07,2.3,509
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,11.05,0.06,3.7,687
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,11.14,0.05,2.3,209
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,11.26,0.06,3.4,164
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,11.36,0.08,1.4,134
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,11.62,0.04,23.1,2024
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,12.46,0.11,1.8,314
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,12.48,0.01,43.4,4857
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,12.5,0.07,3.4,988
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,12.68,0.09,2.2,519
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,12.87,0.08,3.1,565
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,13.23,0.08,4.8,408
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,13.49,0.07,1.8,485
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,13.66,0.07,1.3,157
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,13.79,0.04,15.1,1511
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,13.91,0.07,3.1,501
