"ID","date","elevation","siteID","aspect","sp","plantID","fire","root_depth_cm","no_root_scan","total_root_wet_mass_g","total_root_dry_mass_g","total_root_length_mm","total_root_volume_mm3","RD","BI","SRL","RTD","RDMC","no_tuber_scan","total_tuber_wet_mass_g","total_tuber_dry_mass_g","reproductive_height_cm","vegetative_height_cm","no_leaf","total_leaf_wet_mass_g","total_leaf_dry_mass_g","leaf_thick_1_mm","leaf_thick_2_mm","leaf_thick_3_mm","total_leaf_area_cm2","SLA","LT","LDMC","belowground_biomass_g","aboveground_biomass_g","ABG_BGB"
"FCS7407","12/08/2023",2600,4,"W","HPA",4,1,9,5,0.0277,0.01312,629.694274,40.605331,0.272705,0.311262,47.9949903963415,0.323110283228574,473.646209386282,5,0.6582,0.12652,25.2,6.4,1,0.8883,0.13588,0.781,0.725,0.791,15.074,110.936120105976,0.765666666666667,152.966340200383,4.2,1.63,0.388095238
"FCT4052","12/08/2023",2600,4,"W","TT",2,1,18,4,0.0481,0.01797,1353.774059,112.656251,0.293154,0.391498,75.3352286588759,0.159511787765776,373.596673596674,NA,NA,NA,36.2,9.4,5,0.1821,0.06666,0.11,0.123,0.116,14.458,216.891689168917,0.116333333333333,366.062602965404,2.86,0.5,0.174825175
"FCU3875","12/06/2023",2200,2,"W","SG",5,1,8,5,0.072,0.0218,1101.43895,127.17214,0.354316,0.34228,50.5247224770642,0.171421193352569,302.777777777778,3,0.1772,0.0488,27.4,15.6,1,0.5447,0.1179,0.646,0.659,0.921,10.442,88.5665818490246,0.742,216.449421700018,0.6642,0.5438,0.818729298
"FCV8597","12/06/2023",2200,2,"W","HPA",4,1,15,5,0.0498,0.0185,1009.189064,86.689275,0.305654,0.296277,54.5507602162162,0.213405868257636,371.4859437751,5,0.5776,0.1581,27.5,7.5,1,0.8705,0.1887,1.039,1.142,1.105,18.178,96.3328033916269,1.09533333333333,216.771970132108,5.0549,1.8183,0.35971038
"FCW1015","12/08/2023",2600,4,"W","HPA",2,1,9.8,5,0.0501,0.01431,830.649605,88.879016,0.326452,0.400891,58.0467928022362,0.161005382867875,285.62874251497,5,0.7454,0.14541,30.1,6.5,1,1.6296,0.19215,0.836,0.936,0.908,15.302,79.6357012750455,0.893333333333333,117.912371134021,6.33,2.02,0.319115324
"FCX5914","12/08/2023",2600,4,"W","TT",1,0,17,4,0.0296,0.01187,1095.216982,65.49297,0.255433,0.416356,92.267648020219,0.18124082630548,401.013513513514,NA,NA,NA,17.5,9.2,5,0.1726,0.05718,0.144,0.135,0.12,13.664,238.964672962574,0.133,331.286210892236,6.23,2.96,0.475120385
"FDB8375","12/08/2023",2600,4,"W","HF",1,0,15.5,5,0.0229,0.01028,1272.809424,67.709641,0.246384,0.385761,123.814146303502,0.151824760081064,448.908296943231,NA,NA,NA,23.5,10,5,0.459,0.10583,0.36,0.366,0.32,11.294,106.718321836908,0.348666666666667,230.566448801743,18.99,2.69,0.141653502
"FDF3034","12/09/2023",2400,3,"W","HF",3,1,12,4,0.0372,0.0131,651.10214,52.992536,0.293245,0.307171,49.7024534351145,0.247204625194763,352.150537634409,NA,NA,NA,22,15,5,0.852,0.17765,0.414,0.387,0.385,26.82,150.971010413735,0.395333333333333,208.509389671362,9.4,8.92,0.94893617
"FDJ1565","12/09/2023",2400,3,"W","HF",2,1,10,5,0.2574,0.10309,2471.003003,271.691198,0.326106,0.374342,23.9693763022602,0.379438129607717,400.50505050505,NA,NA,NA,35.3,13.3,5,0.8073,0.12571,0.397,0.326,0.287,26.855,213.626600906849,0.336666666666667,155.716586151369,26.24,18.27,0.696265244
"FDN1018","12/09/2023",2400,3,"W","HF",1,1,13,4,0.1848,0.06653,1398.335213,204.599001,0.35809,0.396185,21.0181153314294,0.325172653213492,360.010822510823,NA,NA,NA,28.6,13.5,5,0.6985,0.15285,0.372,0.333,0.33,21.979,143.794569839712,0.345,218.82605583393,15.24,62.17,4.079396325
"FDR6843","12/09/2023",2400,3,"W","TT",5,1,19.6,5,0.0381,0.01659,1321.921252,85.149809,0.260498,0.389584,79.6818114526823,0.194833085297936,435.433070866142,NA,NA,NA,23.9,20.1,5,0.2408,0.0898,0.2,0.145,0.21,19.969,222.371937639198,0.185,372.923588039867,10.9,2.35,0.21559633
