SCAN FILE,SITE,TRANSECT,SLOPE, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,7.04,0.06,2.6,651
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,7.27,0.09,3.1,1544
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,7.51,0.04,16.2,1695
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,7.54,0.08,1.1,208
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,7.92,0.08,4.4,442
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8,0.13,1.5,258
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.16,0.1,4.3,2161
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.25,0.13,1.9,459
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.35,0.05,7.5,861
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.39,0.14,1.4,294
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.45,0.11,1.7,238
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.57,0.05,2.1,497
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.64,0.1,1.8,341
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.69,0.02,28.9,2510
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,8.79,0.08,3.1,929
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,9.06,0.13,1.2,306
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,9.16,0.09,1.4,319
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,9.28,0.06,10.1,1579
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,9.4,0.07,3,651
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,9.57,0.06,2.1,292
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,9.79,0.06,2.4,210
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,9.8,0.11,1.1,133
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,10.01,0.03,1.7,68
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,10.09,0.05,28.2,1286
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,10.25,0.07,41.5,4229
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,10.37,0.07,2.1,322
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,10.49,0.05,5.8,1032
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,10.64,0.08,2.1,439
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,10.77,0.06,1.8,125
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,10.99,0.09,2.4,618
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,11.15,0.11,1.5,435
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,11.15,0.04,2.7,519
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,11.24,0.03,15.5,1488
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,11.65,0.09,2.4,296
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,12.03,0.08,1.6,359
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,12.22,0.06,1.5,216
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,12.36,0.07,21.8,1267
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,12.52,0.09,1.5,155
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,12.73,0.07,2.4,257
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,12.92,0.06,3.7,917
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,13.37,0.08,2.3,606
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,13.42,0.03,14.7,1888
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,13.59,0.1,1.6,735
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,13.83,0.07,2.2,226
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,13.96,0.04,2.8,504
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,14.08,0.07,4.2,346
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,14.25,0.05,4.1,874
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,14.4,0.08,3.7,1376
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,14.55,0.06,1.8,307
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,14.62,0.09,4.2,1432
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,14.77,0.05,14.4,1248
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,14.98,0.11,3.4,1081
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,15.3,0.06,11.5,1924
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,15.34,0.12,1.3,159
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,15.44,0.04,13.1,1103
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,15.46,0.14,1.2,365
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,15.59,0.08,3.2,642
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,15.77,0.03,26.9,2282
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,15.88,0.07,2.2,1912
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,16.17,0.06,1.7,387
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,16.44,0.1,4.6,701
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,16.67,0.05,2,536
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,16.93,0.06,1.3,144
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,17.07,0.06,5.9,812
